형태소,품사,지역,관광지,카운트
 ,a,中國,COEX水族館,3
 ,a,中國,三清洞,3
 ,a,中國,亂打秀(明洞劇場),1
 ,a,中國,光化門廣場,1
 ,a,中國,南山纜車,1
 ,a,中國,塗鴉秀 （NH藝術廳）,2
 ,a,中國,奉恩寺,1
 ,a,中國,小法蘭西,2
 ,a,中國,廣藏市場,3
 ,a,中國,弘大自由市場,1
 ,a,中國,弘益大學,3
 ,a,中國,愛寶樂園,4
 ,a,中國,新沙洞,1
 ,a,中國,昌德宮,2
 ,a,中國,明洞天主聖堂,4
 ,a,中國,星空圖書館,1
 ,a,中國,景福宮,5
 ,a,中國,東大門歷史文化公園站,1
 ,a,中國,東大門設計廣場（DDP）,1
 ,a,中國,梨泰院,3
 ,a,中國,梨花女子大學,2
 ,a,中國,汝矣島,1
 ,a,中國,汝矣島漢江公園,2
 ,a,中國,清潭洞,2
 ,a,中國,益善洞韓屋村,1
 ,a,中國,華城,1
 ,a,中國,韓國之家,3
 ,a,中國,韓國國立中央博物館,1
 ,a,中國,韓國民俗村,2
 ,a,中國台灣,N首爾塔,1
 ,a,中國香港,N首爾塔,1
 ,a,中國香港,亂打秀(明洞劇場),1
 ,a,中國香港,益善洞韓屋村,1
 ,c,中國,63大廈,1
 ,c,中國,COEX水族館,1
 ,c,中國,N首爾塔,1
 ,c,中國,仁寺洞,2
 ,c,中國,仁川唐人街,1
 ,c,中國,光化門廣場,1
 ,c,中國,南山纜車,1
 ,c,中國,塗鴉秀 （NH藝術廳）,1
 ,c,中國,小法蘭西,4
 ,c,中國,廣藏市場,3
 ,c,中國,弘大自由市場,1
 ,c,中國,弘益大學,4
 ,c,中國,愛寶樂園,1
 ,c,中國,新沙洞,1
 ,c,中國,昌德宮,1
 ,c,中國,景福宮,1
 ,c,中國,月尾島,1
 ,c,中國,梨泰院,6
 ,c,中國,汝矣島,1
 ,c,中國,汝矣島漢江公園,1
 ,c,中國,益善洞韓屋村,1
 ,c,中國,青瓦台,2
 ,c,中國,韓國民俗村,1
 ,c,中國,首爾大公園,1
 ,c,中國香港,三清洞,1
 ,c,中國香港,南山公園,1
 ,d,中國,63大廈,3
 ,d,中國,COEX水族館,5
 ,d,中國,N首爾塔,1
 ,d,中國,三星Leeum美術館,2
 ,d,中國,三清洞,3
 ,d,中國,亂打秀(明洞劇場),2
 ,d,中國,仁寺洞,2
 ,d,中國,仁川唐人街,1
 ,d,中國,光化門廣場,6
 ,d,中國,兒童大公園,2
 ,d,中國,北村韓屋村,2
 ,d,中國,南山公園,2
 ,d,中國,塗鴉秀 （NH藝術廳）,2
 ,d,中國,天空公園,1
 ,d,中國,小法蘭西,3
 ,d,中國,廣藏市場,5
 ,d,中國,弘大自由市場,1
 ,d,中國,弘益大學,6
 ,d,中國,德壽宮,1
 ,d,中國,愛寶樂園,7
 ,d,中國,新沙洞,4
 ,d,中國,昌德宮,5
 ,d,中國,景福宮,9
 ,d,中國,月尾島,1
 ,d,中國,東大門設計廣場（DDP）,5
 ,d,中國,梨泰院,3
 ,d,中國,梨花女子大學,5
 ,d,中國,汝矣島,4
 ,d,中國,汝矣島漢江公園,2
 ,d,中國,清溪川,1
 ,d,中國,漢江遊船,1
 ,d,中國,青瓦台,3
 ,d,中國,韓國之家,1
 ,d,中國,韓國民俗村,1
 ,d,中國,首爾大公園,4
 ,d,中國台灣,南山公園,1
 ,d,中國台灣,月尾島,2
 ,d,中國香港,北村韓屋村,2
 ,d,中國香港,廣藏市場,1
 ,d,中國香港,愛寶樂園,2
 ,d,中國香港,明洞,2
 ,d,中國香港,景福宮,2
 ,d,中國香港,梨泰院,2
 ,d,中國香港,樂天世界,1
 ,d,中國香港,華城,1
 ,f,中國,亂打秀(明洞劇場),1
 ,f,中國,光化門廣場,2
 ,f,中國,南山公園,1
 ,f,中國,南山谷韓屋村,1
 ,f,中國,天空公園,3
 ,f,中國,小法蘭西,2
 ,f,中國,弘益大學,1
 ,f,中國,愛寶樂園,1
 ,f,中國,新沙洞,2
 ,f,中國,昌德宮,1
 ,f,中國,明洞天主聖堂,2
 ,f,中國,星空圖書館,1
 ,f,中國,景福宮,2
 ,f,中國,東大門設計廣場（DDP）,2
 ,f,中國,梨泰院,2
 ,f,中國,汝矣島,1
 ,f,中國,汝矣島漢江公園,3
 ,f,中國,清溪川,1
 ,f,中國,漢江遊船,1
 ,f,中國,青瓦台,2
 ,f,中國,韓國國立中央博物館,1
 ,f,中國,韓國民俗村,1
 ,f,中國,首爾大公園,4
 ,f,中國台灣,COEX水族館,1
 ,f,中國香港,N首爾塔,1
 ,f,中國香港,南山公園,1
 ,f,中國香港,天空公園,2
 ,f,中國香港,弘益大學,1
 ,f,中國香港,汝矣島漢江公園,1
 ,g,中國,63大廈,19
 ,g,中國,COEX水族館,24
 ,g,中國,N首爾塔,14
 ,g,中國,三星Leeum美術館,2
 ,g,中國,三清洞,28
 ,g,中國,亂打秀(明洞劇場),8
 ,g,中國,仁寺洞,21
 ,g,中國,仁川唐人街,16
 ,g,中國,光化門廣場,24
