재정의 기준,Name,Source,Area,Note
열거된 장소를 모두 포함시키거나 더 큰 범위로 경위도를 찍는다.,남산/N서울타워,2013 실태조사,남산,
,여의도/63빌딩/영등포,2013 실태조사,영등포구,
,영종도/공항주변/인천대교,2013 실태조사,영종도,
,서울랜드/서울대공원,2014 실태조사,서울대공원,
,양평(두물머리/레일바이크),2014 실태조사,양평군,
,가평(자라섬/쁘띠프랑스),2014 실태조사,가평군,
,남동공단,2014 실태조사,남동구,
,종로/통인시장,2016 실태조사,종로구,
,공항주변(바닷가)/인천대교/용궁사,2017 실태조사,영종도,
,무의도/팔미도/덕적도,2017 실태조사,인천 중구,
,고양(킨텍스/김치스쿨/원마운트),2017 실태조사,고양시,
,성남(판교/카페거리/남한산성),2017 실태조사,성남시,
,가평(자라섬/쁘띠프랑스/아침고요수목원),2017 실태조사,가평군,
,안산(대부도/시화호/별빛마을),2017 실태조사,안산시,
,SM타운,2017 실태조사,코엑스,
,웅진(해수욕장),2017 실태조사,옹진군,옹진(해수욕장)이 바른 표기이다.
,공항주변 (바닷가)/인천대교/용궁사,2018 실태조사,영종도,
,"평택시 송탄 (국제 중앙시장, 신장 쇼핑몰)",2018 실태조사,평택 송탄 로데오거리,경기도 평택시 신장2동이란 주소로 경위도 찍는다.
,"고양 (고양 킨텍스, 김치스쿨, 원마운트)",2018 실태조사,고양시,
,성남 (판교/카페거리/남한산성),2018 실태조사,성남시,
,양평 (두물머리/레일 바이크),2018 실태조사,양평군,
,가평 (자라섬/쁘띠프랑스/아침고요 수목원),2018 실태조사,가평군,
,안산 (대부도/시화호/별빛마을),2018 실태조사,안산시,
,"영등포 (타임 스퀘어, 영등포시장 등)",2018 실태조사,영등포구,
,"노량진 (노량진 수산시장, 사육신묘)",2018 실태조사,노량진동,
,신림/봉천/낙성대,2018 실태조사,관악구,
,노원/상계,2018 실태조사,노원구,
,오류/개봉,2018 실태조사,구로구,
,강남(sm타운 등),2018 실태조사,강남구,
"관광지 명칭만으로 여러 위치가 존재할 수 있으나, 외국관광객이 가장 많이 방문한 곳으로 경위도를 찍는다. 
참고 기준은 구글맵에서 해당 관광지의 댓글 수가 많은 곳으로 찍는다.",고궁,2013 실태조사,경복궁,
,박물관(기념관),2013 실태조사,국립중앙박물관,
,홍익대학교,2013 실태조사,홍익대학교,홍익대학교 서울캠퍼스로 경위도를 찍는다.
,서울대학교,2013 실태조사,서울대학교,서울대학교 관악캠퍼스로 경위도를 찍는다.
,성균관대학교,2013 실태조사,성균관대학교,성균관대학교 인문사회과학캠퍼스로 경위도를 찍는다.
,한양대학교,2013 실태조사,한양대학교,한양대학교 서울캠퍼스로 경위도를 찍는다.
,고려대학교,2013 실태조사,고려대학교,고려대학교 서울캠퍼스로 경위도를 찍는다.
,경희대학교,2013 실태조사,경희대학교,경희대학교 서울캠퍼스로 경위도를 찍는다.
,연세대학교,2013 실태조사,연세대학교,연세대학교 신촌캠퍼스로 경위도를 찍는다.
,폴리텍대학,2013 실태조사,폴리텍대학,한국폴리텍대학 서울정수캠퍼스로 경위도를 찍는다.
,동국대학교,2013 실태조사,동국대학교,동국대학교 서울캠퍼스로 경위도를 찍는다.
,인하대학교,2013 실태조사,인하대학교,인하대학교 용현캠퍼스로 경위도를 찍는다.
,한강/유람선,2013 실태조사,한강유람선,여의도 한강공원에 위치한유람선 회사인 이랜드크루즈는 대표적인 관광지이므로 해당 위치로 경위도를 찍는다.
,외국어대학교,2014 실태조사,외국어대학교,한국외국어대학교 서울캠퍼스로 경위도를 찍는다.
,중앙대학교,2014 실태조사,중앙대학교,중앙대학교 서울캠퍼스로 경위도를 찍는다.
,인천대학교,2014 실태조사,인천대학교,인천대학교 송도캠퍼스로 경위도를 찍는다.
,명지대학교,2015 실태조사,명지대학교,명지대학교 인문캠퍼스로 경위도를 찍는다.
,한성대학교,2017 실태조사,서울대학교,서울대학교 관악캠퍼스로 경위도를 찍는다.
,한국외대,2018 실태조사,한국외국어대학교,한국외국어대학교 서울캠퍼스로 경위도를 찍는다.
"관광지 명칭만으로 여러 위치가 존재할 수 있으나, 모두 포함시키기 위해 행정구역으로 경위도를 찍는다.",청평리조트,2013 실태조사,청평면,
,옹진(해수욕장),2014 실태조사,옹진군,
,김포시티호텔,2014 실태조사,김포시,
구 글지도에서 검색이 더 잘되는 대표적인 명칭이나 열거된 곳 중에서 대표적인 관광지로 경위도를 찍는다.,청계천/광화문광장,2013 실태조사,광화문광장,
,신촌/홍대주변,2013 실태조사,홍대거리,
,월미도/차이나타운·개항장/연안부두,2013 실태조사,인천 차이나타운,
,임진각/오두산 통일 전망대/판문점,2013 실태조사,임진각,
,LG스키장,2013 실태조사,곤지암리조트 스키장,
,서울예술회관,2013 실태조사,예술의전당,
,혜화동/ 대학로,2013 실태조사,대학로,
,북촌/삼청동,2014 실태조사,북촌,
,청담동/압구정동,2014 실태조사,청담동,
,에버랜드/캐리비안베이,2014 실태조사,에버랜드,
,임진각평화누리/제3땅꿀/오두산 통일전망대/판문점,2014 실태조사,임진각,
,이화여자대학병원,2014 실태조사,이화여자대학병원,
,용산공원,2015 실태조사,용산가족공원,
,임진각평화누리/제3땅꿀/통일전망대/판문점,2017 실태조사,임진각,
,헤이리예술마을/프로방스마을,2017 실태조사,헤이리예술마을,
,신라호텔/신라면세점,2017 실태조사,신라호텔,
,구의동/뚝섬,2017 실태조사,뚝섬한강공원,
,인천 동화마을,2017 실태조사,송월동 동화마을,
,아라뱃길,2017 실태조사,아라빛섬,
,동묘/동묘시장,2017 실태조사,동묘시장,
,명동/남대문/북창,2018 실태조사,명동,
,"이태원 (이태원 세계 음식거리, 한남동)",2018 실태조사,이태원,
,종로/청계,2018 실태조사,청계천,
,"임진각, 제3땅굴/통일전망대/판문점",2018 실태조사,임진각,
,헤이리 예술마을/프로방스마을,2018 실태조사,헤이리예술마을,
,"반포 (고속버스 터미널, 고투몰)",2018 실태조사,고투몰,
,"흑석동 (중앙대, 중앙대 병원)",2018 실태조사,중앙대학교,
,"이촌 (국립중앙박물관, 용산 가족공원)",2018 실태조사,국립중앙박물관,
,대학로/혜화동,2018 실태조사,대학로,
,시청/광화문광장,2019 실태조사,광화문광장,
,"용산/이촌 (국립중앙박물관, 용산 가족공원)",2019 실태조사,국립중앙박물관,
"구명칭이거나 익숙하지 않은 이름인 경우,  현재 사용되거나 자주 불리는 명칭으로 Area를 지정한다.",워커힐,2013 실태조사,그랜드 워커힐 서울,구 명칭은 쉐라톤 그랜드 워커힐 서울이며 현재는 그랜드 워커힐 서울로 변경되었다.
,수유리,2013 실태조사,수유동,
,워커힐 호텔,2014 실태조사,그랜드 워커힐 서울,구 명칭은 쉐라톤 그랜드 워커힐 서울이며 현재는 그랜드 워커힐 서울로 변경되었다.
,이천 도자기 박물관,2016 실태조사,경기도자미술관,
,동탄문화센터,2016 실태조사,동탄복합문화센터,
,경기도문화의전당,2016 실태조사,경기아트센터,
,경원대학교,2017 실태조사,가천대학교,"2012년 3월 2일, 가천의과학대학교와 통합되면서, 현재 가천대학교 글로벌캠퍼스로 변경되었다."
,베스트웨스턴 뉴서울 호텔,2018 실태조사,뉴서울호텔,구 명칭은 베스트웨스턴뉴서울호텔이며 현재는 뉴서울호텔로 변경되었다.
,쉐라톤 워커힐 호텔,2018 실태조사,그랜드 워커힐 서울,구 명칭은 쉐라톤 그랜드 워커힐 서울이며 현재는 그랜드 워커힐 서울로 변경되었다.
관광지 명칭이 하나의 행정구역에 해당하므로 행정구역명으로 경위도를 찍는다.,옹진,2013 실태조사,옹진군,
,용산,2013 실태조사,용산구,
,강남,2013 실태조사,강남구,
,종로,2013 실태조사,종로구,
,구로,2013 실태조사,구로구,
,서대문,2013 실태조사,서대문구,
,강북,2013 실태조사,강북구,
,마포,2013 실태조사,마포구,
,부천,2013 실태조사,부천시,
,오산,2013 실태조사,오산시,
,가평,2013 실태조사,가평군,
,안양,2013 실태조사,안양시,
,청평,2013 실태조사,청평면,
,김포,2013 실태조사,김포시,
,이천,2013 실태조사,이천시,
,광주 (경기),2013 실태조사,경기 광주시,
,양주,2013 실태조사,양주시,
,성남,2013 실태조사,성남시,
,평택,2013 실태조사,평택시,
,안산,2013 실태조사,안산시,
,의정부,2013 실태조사,의정부시,
,군포,2013 실태조사,군포시,
,용인,2013 실태조사,용인시,
,남양주,2013 실태조사,남양주시,
,동두천,2013 실태조사,동두천시,
,시흥,2013 실태조사,시흥시,
,파주,2013 실태조사,파주시,
,안성,2013 실태조사,안성시,
,여주,2013 실태조사,여주시,
,포천,2013 실태조사,포천시,
,연천,2013 실태조사,연천군,
,노원,2014 실태조사,노원구,
,송파,2014 실태조사,송파구,
,종로,2014 실태조사,종로구,
,금천,2014 실태조사,금천구,
,독산,2014 실태조사,독산동,
,영등포,2014 실태조사,영등포구,
,김포,2014 실태조사,김포,
,서현,2014 실태조사,서현동,
,기흥,2014 실태조사,기흥구,
,광주(경기),2014 실태조사,경기 광주시,
,분당,2014 실태조사,분당구,
,죽전,2014 실태조사,죽전동,
,과천,2014 실태조사,과천시,
,광명,2014 실태조사,광명시,
,평촌,2014 실태조사,평촌동,
,용인시,2016 실태조사,용인시,
,산본,2016 실태조사,산봉동,
,문산,2016 실태조사,문산읍,
,금촌,2017 실태조사,금촌동,
,마곡,2018 실태조사,마곡동,
,부평,2018 실태조사,부평구,
,경기 광주,2018 실태조사,경기 광주시,
,구리,2018 실태조사,구리시,
큰 범위의 관광지보다 특정 관광지를 기준으로 경위도를 찍는다.,평택시(송탄 로데오거리),2014 실태조사,평택 송탄 로데오거리,경기도 평택시 신장2동이란 주소로 경위도를 찍는다.
,을왕,2014 실태조사,을왕리해수욕장,
,광나루,2016 실태조사,광나루한강공원,
,동두천(한탄강),2017 실태조사,한탄강,
,동인천,2017 실태조사,인천 차이나타운,
,정릉(북악스카이웨이등),2017 실태조사,북악스카이웨이,
,평택시 (송탄 로데오 거리),2018 실태조사,평택 송탄 로데오거리,경기도 평택시 신장2동이란 주소로 경위도를 찍는다.
,양재 (양재 시민의 숲 등),2018 실태조사,양재 시민의 숲,서울특별시 서초구 매헌로 99라는 주소로 경위도를 찍는다.
,회기동(경희대학교),2018 실태조사,경희대학교,경희대학교 서울캠퍼스로 경위도를 찍는다.
,방배동 (서래마을 등),2018 실태조사,서래마을,
,여의도 (63빌딩),2019 실태조사,63빌딩,
,방화동/김포공항 주변,2019 실태조사,김포공항,
관광지의 정확한 위치를 알 수 없어 분석이 불가능하다.,국제뮤지엄,2014 실태조사,NULL,
,평화의계곡(일산),2016 실태조사,NULL,
,인천그랜드파크호텔,2017 실태조사,NULL,
,산타마리아 병원,2017 실태조사,NULL,
관광지가 광범위하여 분석에 적합하지 않아 제외한다.,사찰,2013 실태조사,NULL,
,산,2013 실태조사,NULL,
,온천,2013 실태조사,NULL,
,강,2013 실태조사,NULL,
,병원,2013 실태조사,NULL,
,영화및드라마촬영지,2013 실태조사,NULL,
,공연,2013 실태조사,NULL,
,카지노,2013 실태조사,NULL,
,스키장,2013 실태조사,NULL,
,인천,2013 실태조사,NULL,
,수목원,2014 실태조사,NULL,
,호텔,2014 실태조사,NULL,
,서울,2014 실태조사,NULL,
,절/사찰,2014 실태조사,NULL,
,인천시내,2014 실태조사,NULL,
,경기도,2014 실태조사,NULL,
,서울특별시,2017 실태조사,NULL,
,인천광역시/인천시내,2017 실태조사,NULL,
관광지 명칭에 맞춤법 오류가 있다.,모래네시장,2017 실태조사,모래내시장,모래내시장이 바른 표기이다.
,웨스턴 조선호텔,2018 실태조사,웨스틴조선호텔,웨스틴조선호텔이 바른 표기이다.
"관광지 명칭이 하나의 행정구역일 수 있으나,  경우에 따라 외래 관광객의 주요 이동 수단인 지하철을 고려해 해당 지역의 지하철역명으로 경위도를 찍는다.",노량진,2013 실태조사,노량진역,
,석계동,2013 실태조사,석계역,
,잠실,2013 실태조사,잠실역,
,혜화,2014 실태조사,혜화역,
,답십리,2014 실태조사,답십리역,
,반포,2014 실태조사,반포역,
,신도림,2014 실태조사,신도림역,
,대림,2014 실태조사,대림역,
,판교,2015 실태조사,판교역,
,우장산,2017 실태조사,우장산역,
,군자,2017 실태조사,군자역,
,원당,2017 실태조사,원당역,
,마두,2017 실태조사,마두역,
,청량리,2018 실태조사,청량리역,
,주안,2018 실태조사,주안역,
해당 지역의 지하철이 외래 관광객의 메인 이동 수단이므로 지하철역명으로 지정한다.,가산디지털단지,2013 실태조사,가산디지털단지역,
,건대입구,2014 실태조사,건대입구역,
,장안평,2014 실태조사,장한평역,
,삼각지,2014 실태조사,삼각지역,
,동탄시,2014 실태조사,동탄역,
,서울역/서울로,2016 실태조사,서울역,
,검암/청라,2017 실태조사,청라국제도시역,
,"광진구 (건국 대학교, 건대 입구역)",2018 실태조사,건대입구역,
,시흥동/독산,2018 실태조사,독산역,
,가산디지털,2018 실태조사,가산디지털단지역,
,남영동/청파동/숙대입구,2018 실태조사,숙대입구역,
,장한평,2018 실태조사,장한평역,
,동탄,2018 실태조사,동탄역,
해당 명칭이 행정동 또는 법정동에 존재하지 않으므로 가장 가까운 행정동 또는 법정동으로 경위도를 찍는다.,장안평동,2013 실태조사,장안동,장안평동이 없으므로 장안동으로 경위도를 찍는다.
"해당 행정구역이 1,2...구역이 있으므로 그 상위 행정구역으로 경위도를 찍는다",계양동,2014 실태조사,계양구,
관광지 명칭만으로 여러 군데 있음을 알 수 있으며 서로 위치가 다르므로 분석에서 제외한다,스키장(지산/양지/베어스타운),2014 실태조사,NULL,
,인삼공장,2014 실태조사,NULL,
,힐튼호텔,2014 실태조사,NULL,
,JW메리어트 호텔,2014 실태조사,NULL,
,라마다호텔,2014 실태조사,NULL,
,르네상스호텔,2014 실태조사,NULL,
,그랜드호텔,2014 실태조사,NULL,
,엠베서더호텔,2014 실태조사,NULL,
,프라자호텔,2014 실태조사,NULL,
,하얏트호텔,2014 실태조사,NULL,
,팔레스호텔,2014 실태조사,NULL,
,까치산,2014 실태조사,NULL,
,베스트웨스턴호텔,2014 실태조사,NULL,
,보문사,2014 실태조사,NULL,
,인천공항호텔,2014 실태조사,NULL,
,드라마아트센타,2014 실태조사,NULL,
,삼성디지털센터,2014 실태조사,NULL,
,한림대학병원,2015 실태조사,NULL,
,모던뮤지엄,2015 실태조사,NULL,
,한국예술종합학교,2016 실태조사,NULL,
,용문사,2016 실태조사,NULL,
,프레이저플레이스호텔,2016 실태조사,NULL,
,SBS,2016 실태조사,NULL,
,KBS,2016 실태조사,NULL,
,롯데면세점,2016 실태조사,NULL,
,스키장(지산/양지/베어스타운/곤지암),2017 실태조사,NULL,
,삼성본사,2017 실태조사,NULL,
,인천경기장,2017 실태조사,NULL,
,교보문고,2017 실태조사,NULL,
,카톨릭대학교,2017 실태조사,NULL,
,레이크힐스리조트,2017 실태조사,NULL,
,신세계 백화점,2017 실태조사,NULL,
,스키장 (지산/양지/베어스타운/곤지암),2018 실태조사,NULL,
,합정/성수,2018 실태조사,NULL,
Area 기준이외에 기타 추가 설명,,,,
휴업중인 광관지 또는 영구 휴업인 관광지,베어스타운,2013 실태조사,베어스타운,휴업
,인천연꽃마을,2017 실태조사,인천연꽃마을,영구휴업
관광지의 정확한 경위도를 알려준다,평택 캠프험프리,2018 실태조사,평택 캠프험프리,K6 Main Gate. Camp Humphreys로 경위도를 찍는다.
"해당 행정구역이 1,2...구역이 있으므로 그중 가장 유명한 곳으로 경위도를 찍는다.",성수동,2013 실태조사,성수동,성수동2가로 경위도를 찍는다.
,사당동,2013 실태조사,사당동,사당제1동으로 경위도를 찍는다.
