실태조사(2015~2019),총 375곳,,,트립닷컴(2015~2024),총 56곳,,
Area,권역 분류,서울 지역 분류,시대 분류,Name,권역 분류,서울 지역 분류,시대 분류
남대문시장,Seoul,강북,전통/현대,N서울타워,Seoul,강북,현대
홍대거리,Seoul,강북,현대,남산 공원,Seoul,강북,현대
광화문광장,Seoul,강북,전통/현대,명동,Seoul,강북,현대
남산골 한옥마을,Seoul,강북,전통,경복궁,Seoul,강북,전통
강남역,Seoul,강남,현대,북촌 한옥마을,Seoul,강북,전통
동대문시장,Seoul,강북,현대,코엑스 아쿠아리움,Seoul,강남,현대
명동,Seoul,강북,현대,별마당 도서관,Seoul,강남,현대
남산,Seoul,강북,현대,광장시장,Seoul,강북,전통/현대
인사동,Seoul,강북,전통/현대,DDP 동대문디자인플라자,Seoul,강북,현대
경복궁,Seoul,강북,전통,청계천,Seoul,강북,현대
이태원,Seoul,강북,현대,Yeouido(여의도),Seoul,강남,현대
수원화성,Gyeonggi,,전통,여의도한강공원,Seoul,강남,현대
에버랜드,Gyeonggi,,현대,에버랜드,Gyeonggi,,현대
안양시,Gyeonggi,,현대,롯데월드,Seoul,강남,현대
영종도,Incheon,,현대,홍익대학교 서울캠퍼스,Seoul,강북,현대
인천 차이나타운,Incheon,,전통/현대,63빌딩,Seoul,강남,현대
국립중앙박물관,Seoul,강북,전통,국립중앙박물관,Seoul,강북,전통
여주 쇼핑아울렛,Gyeonggi,,현대,남산 케이블카,Seoul,강북,현대
롯데월드,Seoul,강남,현대,흥인지문(동대문),Seoul,강북,전통/현대
북촌,Seoul,강북,전통,창덕궁,Seoul,강북,전통
한국민속촌,Gyeonggi,,전통,신사동,Seoul,강남,현대
가평군,Gyeonggi,,현대,청와대,Seoul,강북,전통/현대
한강유람선,Seoul,강남,현대,인사동,Seoul,강북,전통/현대
가로수길,Seoul,강남,현대,이태원동,Seoul,강북,현대
월드컵 경기장,Seoul,강북,현대,이화여자대학교,Seoul,강북,현대
63빌딩,Seoul,강남,현대,삼청동,Seoul,강북,전통/현대
청담동,Seoul,강남,현대,명동난타,Seoul,강북,현대
헤이리예술마을,Gyeonggi,,현대,서울 스카이 전망대,Seoul,강남,현대
고속버스터미널,Seoul,강남,현대,페인터즈 (NH아트홀),Seoul,강북,현대
코엑스,Seoul,강남,현대,롯데월드타워,Seoul,강남,현대
서울대학교,Seoul,강남,현대,익선동 한옥거리,Seoul,강북,전통/현대
북한산,Seoul,강북,현대,한강유람선,Seoul,강남,현대
올림픽공원,Seoul,강남,현대,광화문광장,Seoul,강북,전통/현대
판교역,Gyeonggi,,현대,명동대성당,Seoul,강북,전통
김포시,Gyeonggi,,현대,남산골 한옥마을,Seoul,강북,전통
서울대공원,Gyeonggi,,현대,남대문시장,Seoul,강북,전통/현대
안산 대부도,Gyeonggi,,현대,YG 엔터테인먼트,Seoul,강북,현대
용인시,Gyeonggi,,현대,동대문역사문화공원,Seoul,강북,현대
포천 허브아일랜드,Gyeonggi,,현대,NULL(홍대앞 예술시장 프리마켓),Seoul,강북,현대
옹진군,Incheon,,현대,덕수궁,Seoul,강북,전통
무의도,Incheon,,현대,하늘공원,Seoul,강북,현대
중앙대학병원,Seoul,강남,현대,한국의 집,Seoul,강북,전통/현대
임진각,Gyeonggi,,현대,청담동,Seoul,강남,현대
소래포구,Incheon,,현대,리움미술관,Seoul,강남,현대
평택 송탄 로데오거리,Gyeonggi,,현대,봉은사,Seoul,강남,전통
곤지암리조트,Gyeonggi,,현대,어린이대공원,Seoul,강북,현대
경기 광주시,Gyeonggi,,현대,SBS 프리즘타워,Seoul,강북,현대
킨텍스,Gyeonggi,,현대,고척스카이돔,Seoul,강남,현대
파주 쇼핑아울렛,Gyeonggi,,현대,월미도,Incheon,,현대
종로구,Seoul,강북,현대,쁘띠프랑스,Gyeonggi,,현대
대학로,Seoul,강북,현대,인천 차이나타운,Incheon,,전통/현대
부천 웅진플레이도시,Gyeonggi,,현대,한국민속촌,Gyeonggi,,전통
목동,Seoul,강남,현대,수원화성,Gyeonggi,,전통
청와대,Seoul,강북,전통/현대,서울랜드,Gyeonggi,,현대
광장시장,Seoul,강북,전통/현대,서울대공원,Gyeonggi,,현대
송도,Incheon,,현대,캐리비안베이,Gyeonggi,,현대
강화도,Incheon,,현대,,,,
그랜드 워커힐 서울,Seoul,강북,현대,,,,
구로구,Seoul,강남,현대,,,,
양주시,Gyeonggi,,현대,,,,
오산시,Gyeonggi,,현대,,,,
이화여자대학교,Seoul,강북,현대,,,,
고양시,Gyeonggi,,현대,,,,
용산구,Seoul,강북,현대,,,,
서래마을,Seoul,강남,현대,,,,
이천시,Gyeonggi,,현대,,,,
연세세브란스병원,Seoul,강북,현대,,,,
신라호텔,Seoul,강북,현대,,,,
일산,Gyeonggi,,현대,,,,
고려대학교,Seoul,강북,현대,,,,
봉은사,Seoul,강남,전통,,,,
의정부시,Gyeonggi,,현대,,,,
노량진역,Seoul,강남,현대,,,,
관악산,Seoul,강남,현대,,,,
동두천 한탄강,Gyeonggi,,현대,,,,
서울시청,Seoul,강북,현대,,,,
마포구,Seoul,강북,현대,,,,
영등포구,Seoul,강남,현대,,,,
서대문구,Seoul,강북,현대,,,,
성남서울공항,Gyeonggi,,현대,,,,
화성시,Gyeonggi,,현대,,,,
서울역,Seoul,강북,현대,,,,
청량리동,Seoul,강북,현대,,,,
부천시,Gyeonggi,,현대,,,,
인하대학교병원,Incheon,,현대,,,,
동탄역,Gyeonggi,,현대,,,,
안성시,Gyeonggi,,현대,,,,
양평군,Gyeonggi,,현대,,,,
인하대학교,Incheon,,현대,,,,
청평면,Gyeonggi,,현대,,,,
노원구,Seoul,강북,현대,,,,
송탄,Gyeonggi,,현대,,,,
미즈매디병원,Seoul,강남,현대,,,,
인천대학교,Incheon,,현대,,,,
삼성병원,Seoul,강남,현대,,,,
구리시,Gyeonggi,,현대,,,,
역삼동,Seoul,강남,현대,,,,
성남시,Gyeonggi,,현대,,,,
시흥시,Gyeonggi,,현대,,,,
사당동,Seoul,강남,현대,,,,
부평구,Incheon,,현대,,,,
건국대학교,Seoul,강북,현대,,,,
광명시,Gyeonggi,,현대,,,,
독산동,Seoul,강남,현대,,,,
한국외국어대학교,Seoul,강북,현대,,,,
남양주시,Gyeonggi,,현대,,,,
반포역,Seoul,강남,현대,,,,
군포시,Gyeonggi,,현대,,,,
MBC일산드림센터,Gyeonggi,,현대,,,,
연세대학교,Seoul,강북,현대,,,,
롯데호텔,Seoul,강북,현대,,,,
웨스틴조선호텔,Seoul,강북,현대,,,,
한양대학교,Seoul,강북,현대,,,,
명지대학교,Seoul,강북,현대,,,,
동작구,Seoul,강남,현대,,,,
충무로,Seoul,강북,현대,,,,
대림역,Seoul,강남,현대,,,,
조계사,Seoul,강북,전통,,,,
장안평역,Seoul,강북,현대,,,,
과천시,Gyeonggi,,현대,,,,
건대입구역,Seoul,강북,현대,,,,
타임스퀘어,Seoul,강남,현대,,,,
신림동,Seoul,강남,현대,,,,
아주대학교,Gyeonggi,,현대,,,,
서초구,Seoul,강남,현대,,,,
당산동,Seoul,강남,현대,,,,
하남시,Gyeonggi,,현대,,,,
왕십리,Seoul,강북,현대,,,,
아침고요수목원,Gyeonggi,,현대,,,,
남동구,Incheon,,현대,,,,
중부시장,Seoul,강북,전통/현대,,,,
성신여자대학교,Seoul,강북,현대,,,,
신설동,Seoul,강북,현대,,,,
주한 러시아 대사관,Seoul,강북,현대,,,,
서울숲,Seoul,강북,현대,,,,
인왕산,Seoul,강북,현대,,,,
가산디지털단지역,Seoul,강남,현대,,,,
DDP 동대문디자인플라자,Seoul,강북,현대,,,,
혜화역,Seoul,강북,현대,,,,
장흥면,Gyeonggi,,현대,,,,
청계산,Gyeonggi,,현대,,,,
도봉산,Seoul,강북,현대,,,,
파주시,Gyeonggi,,현대,,,,
분당구,Gyeonggi,,현대,,,,
경희대학교,Seoul,강북,현대,,,,
북서울 꿈의 숲,Seoul,강북,현대,,,,
강북삼성병원,Seoul,강북,현대,,,,
원자력병원(서울),Seoul,강북,현대,,,,
