PlaceID,Name,SimplifiedChineseName,TradionalChineseName,Province/City,Source,Longtitude,Latitude,Area,DistrictByArea,DongByArea,LongtitudeByArea,LatitudeByArea,중문원문,문제종류
57,고궁,古宫,古宮,Seoul,2013 외래관광객실태조사,,,경복궁,종로구,세종로,126.977041,37.579617,,
58,박물관(기념관),博物馆(纪念馆),博物館(紀念館),Seoul,2013 외래관광객실태조사,,,국립중앙박물관,용산구,용산동6가,126.9804702,37.5238506,,
59,인사동,仁寺洞,仁寺洞,Seoul,2013 외래관광객실태조사,126.9860732,37.5717174,인사동,종로구,인사동,126.9860732,37.5717174,,
60,남산/N서울타워,南山/N首尔塔,南山/N首爾塔,Seoul,2013 외래관광객실태조사,,,남산,용산구,후암동,126.9809696,37.5537586,,
61,명동,明洞,明洞,Seoul,2013 외래관광객실태조사,126.9858296,37.55998,명동,중구,남산동2가,126.9858296,37.55998,,
62,남대문시장,南大门市场,南大門市場,Seoul,2013 외래관광객실태조사,126.9776692,37.5591786,남대문시장,중구,남창동,126.9776692,37.5591786,,
63,코엑스,COEX,COEX,Seoul,2013 외래관광객실태조사,127.0595931,37.5113686,코엑스,강남구,삼성동,127.0595931,37.5113686,,
64,동대문시장,东大门市场,東大門市場,Seoul,2013 외래관광객실태조사,127.0081119,37.5707806,동대문시장,종로구,종로6가,127.0081119,37.5707806,,
65,이태원,梨泰院,梨泰院,Seoul,2013 외래관광객실태조사,126.9925224,37.5385051,이태원,용산구,이태원동,126.9925224,37.5385051,,
66,롯데월드,乐天世界,樂天世界,Seoul,2013 외래관광객실태조사,127.098167,37.5111158,롯데월드,송파구,잠실동,127.098167,37.5111158,,
67,여의도/63빌딩/영등포,汝矣岛/63大厦/永登浦,汝矣島/63大廈/永登浦,Seoul,2013 외래관광객실태조사,,,영등포구,영등포구,영등포동2가,126.9101692,37.5223245,,
68,한강/유람선,汉江/游船,漢江/遊覽船,Seoul,2013 외래관광객실태조사,,,한강유람선,영등포구,여의도동,126.9384944,37.5257811,,
69,청계천/광화문광장,清溪川/光化门广场,清溪川/光化門廣場,Seoul,2013 외래관광객실태조사,,,광화문광장,종로구,세종로,126.9769117,37.572389,,
70,신촌/홍대주변,新村/弘大周围,新村/弘大周圍,Seoul,2013 외래관광객실태조사,,,홍대거리,마포구,서교동,126.9241498,37.5558499,,
71,DMC/월드컵 경기장,DMC/世界杯体育场,DMC/世界盃體育場,Seoul,2013 외래관광객실태조사,126.8972735,37.5682617,월드컵 경기장,마포구,성산동,126.8972735,37.5682617,DMC/世界盃赛场,번체/간체 번역의 생소한 표현
72,한옥마을(남산),韩屋村(南山),韓屋村(南山),Seoul,2013 외래관광객실태조사,126.994477,37.559315,남산골 한옥마을,중구,필동2가,126.994477,37.559315,,
73,북촌,北村,北村,Seoul,2013 외래관광객실태조사,126.9849519,37.5814696,북촌,종로구,가회동,126.9849519,37.5814696,,
74,청담동,清潭洞,清潭洞,Seoul,2013 외래관광객실태조사,127.0479736,37.5233931,청담동,강남구,청담동,127.0479736,37.5233931,,
75,가로수길,林荫树街,林蔭樹街,Seoul,2013 외래관광객실태조사,127.0228686,37.5210566,가로수길,강남구,신사동,127.0228686,37.5210566,,
76,월미도/차이나타운·개항장/연안부두,月尾岛/唐人街/开港场/沿岸埠头,月尾島/唐人街/開港場/沿岸埠頭,Incheon,2013 외래관광객실태조사,,,인천 차이나타운,중구,북성동2가,126.6178849,37.475589,臨津閣/烏頭山統一瞭望台/沿岸埠頭,번체/간체 오역 사례
77,송도,松岛,松島,Incheon,2013 외래관광객실태조사,126.6389202,37.3860959,송도,연수구,송도동,126.6389202,37.3860959,,
78,강화도,江华岛,江華島,Incheon,2013 외래관광객실태조사,126.4511281,37.7131742,강화도,강화군,불은면,126.4511281,37.7131742,,
79,영종도/공항주변/인천대교,永宗岛/机场周边/仁川大桥,永宗島/機場周邊/仁川大橋,Incheon,2013 외래관광객실태조사,,,영종도,중구,운남동,126.5358479,37.5000629,,
80,소래포구,苏来浦口,蘇來浦口,Incheon,2013 외래관광객실태조사,126.7407213,37.3987976,소래포구,남동구,논현동,126.7407213,37.3987976,,
