CompanionID,VisitID,CompanionType
1,2,혼자 왔다
2,8,혼자 왔다
3,16,혼자 왔다
4,30,혼자 왔다
5,36,혼자 왔다
6,38,혼자 왔다
7,45,혼자 왔다
8,48,혼자 왔다
9,69,혼자 왔다
10,78,혼자 왔다
11,81,혼자 왔다
12,82,혼자 왔다
13,85,혼자 왔다
14,86,혼자 왔다
15,87,혼자 왔다
16,90,혼자 왔다
17,91,혼자 왔다
18,93,혼자 왔다
19,94,혼자 왔다
20,96,혼자 왔다
21,97,혼자 왔다
22,101,혼자 왔다
23,104,혼자 왔다
24,105,혼자 왔다
25,108,혼자 왔다
26,111,혼자 왔다
27,113,혼자 왔다
28,115,혼자 왔다
29,120,혼자 왔다
30,121,혼자 왔다
31,123,혼자 왔다
32,124,혼자 왔다
33,125,혼자 왔다
34,126,혼자 왔다
35,127,혼자 왔다
36,128,혼자 왔다
37,131,혼자 왔다
38,133,혼자 왔다
39,134,혼자 왔다
40,137,혼자 왔다
41,139,혼자 왔다
42,143,혼자 왔다
43,146,혼자 왔다
44,147,혼자 왔다
45,148,혼자 왔다
46,149,혼자 왔다
47,150,혼자 왔다
48,151,혼자 왔다
49,152,혼자 왔다
50,154,혼자 왔다
51,156,혼자 왔다
52,158,혼자 왔다
53,160,혼자 왔다
54,166,혼자 왔다
55,168,혼자 왔다
56,172,혼자 왔다
57,176,혼자 왔다
58,184,혼자 왔다
59,193,혼자 왔다
60,205,혼자 왔다
61,206,혼자 왔다
62,208,혼자 왔다
63,210,혼자 왔다
64,211,혼자 왔다
65,212,혼자 왔다
66,213,혼자 왔다
67,215,혼자 왔다
68,217,혼자 왔다
69,221,혼자 왔다
70,222,혼자 왔다
71,224,혼자 왔다
72,227,혼자 왔다
73,242,혼자 왔다
74,251,혼자 왔다
75,253,혼자 왔다
76,254,혼자 왔다
77,255,혼자 왔다
78,256,혼자 왔다
79,258,혼자 왔다
80,259,혼자 왔다
81,260,혼자 왔다
82,265,혼자 왔다
83,267,혼자 왔다
84,269,혼자 왔다
85,270,혼자 왔다
86,271,혼자 왔다
87,272,혼자 왔다
88,274,혼자 왔다
89,275,혼자 왔다
90,276,혼자 왔다
91,277,혼자 왔다
92,279,혼자 왔다
93,280,혼자 왔다
94,281,혼자 왔다
95,282,혼자 왔다
96,283,혼자 왔다
97,284,혼자 왔다
98,286,혼자 왔다
99,287,혼자 왔다
100,290,혼자 왔다
101,292,혼자 왔다
102,293,혼자 왔다
103,294,혼자 왔다
104,295,혼자 왔다
105,296,혼자 왔다
106,297,혼자 왔다
107,303,혼자 왔다
108,305,혼자 왔다
109,308,혼자 왔다
110,309,혼자 왔다
111,313,혼자 왔다
112,315,혼자 왔다
113,316,혼자 왔다
114,317,혼자 왔다
115,318,혼자 왔다
116,320,혼자 왔다
117,321,혼자 왔다
118,322,혼자 왔다
119,324,혼자 왔다
120,326,혼자 왔다
121,327,혼자 왔다
122,330,혼자 왔다
123,331,혼자 왔다
124,332,혼자 왔다
125,335,혼자 왔다
126,344,혼자 왔다
127,345,혼자 왔다
128,346,혼자 왔다
129,347,혼자 왔다
130,352,혼자 왔다
131,353,혼자 왔다
132,354,혼자 왔다
133,356,혼자 왔다
134,393,혼자 왔다
135,394,혼자 왔다
136,396,혼자 왔다
137,400,혼자 왔다
138,403,혼자 왔다
139,404,혼자 왔다
140,406,혼자 왔다
141,407,혼자 왔다
142,409,혼자 왔다
143,411,혼자 왔다
144,412,혼자 왔다
145,413,혼자 왔다
146,418,혼자 왔다
147,419,혼자 왔다
148,420,혼자 왔다
149,421,혼자 왔다
150,422,혼자 왔다
151,423,혼자 왔다
152,424,혼자 왔다
153,425,혼자 왔다
154,426,혼자 왔다
155,427,혼자 왔다
156,428,혼자 왔다
157,429,혼자 왔다
158,430,혼자 왔다
159,431,혼자 왔다
160,433,혼자 왔다
161,435,혼자 왔다
162,438,혼자 왔다
163,439,혼자 왔다
164,440,혼자 왔다
165,442,혼자 왔다
166,443,혼자 왔다
167,446,혼자 왔다
168,447,혼자 왔다
169,452,혼자 왔다
170,457,혼자 왔다
171,460,혼자 왔다
172,462,혼자 왔다
173,463,혼자 왔다
174,465,혼자 왔다
175,467,혼자 왔다
176,469,혼자 왔다
177,471,혼자 왔다
178,473,혼자 왔다
179,474,혼자 왔다
180,475,혼자 왔다
181,477,혼자 왔다
182,478,혼자 왔다
183,479,혼자 왔다
184,480,혼자 왔다
185,481,혼자 왔다
186,482,혼자 왔다
187,483,혼자 왔다
188,484,혼자 왔다
189,486,혼자 왔다
190,487,혼자 왔다
191,488,혼자 왔다
192,491,혼자 왔다
193,492,혼자 왔다
194,493,혼자 왔다
195,494,혼자 왔다
196,497,혼자 왔다
197,499,혼자 왔다
198,500,혼자 왔다
199,503,혼자 왔다
200,504,혼자 왔다
201,505,혼자 왔다
202,506,혼자 왔다
203,507,혼자 왔다
204,509,혼자 왔다
205,514,혼자 왔다
206,515,혼자 왔다
207,517,혼자 왔다
208,518,혼자 왔다
209,519,혼자 왔다
210,522,혼자 왔다
211,523,혼자 왔다
212,525,혼자 왔다
213,526,혼자 왔다
214,527,혼자 왔다
215,528,혼자 왔다
216,529,혼자 왔다
217,530,혼자 왔다
218,531,혼자 왔다
219,535,혼자 왔다
220,536,혼자 왔다
221,537,혼자 왔다
222,539,혼자 왔다
223,540,혼자 왔다
224,543,혼자 왔다
225,545,혼자 왔다
226,547,혼자 왔다
227,549,혼자 왔다
228,550,혼자 왔다
229,551,혼자 왔다
230,552,혼자 왔다
231,553,혼자 왔다
232,554,혼자 왔다
233,557,혼자 왔다
234,560,혼자 왔다
235,565,혼자 왔다
236,567,혼자 왔다
237,579,혼자 왔다
238,584,혼자 왔다
239,585,혼자 왔다
240,594,혼자 왔다
241,595,혼자 왔다
242,596,혼자 왔다
