OtherVisitID,VisitID,VisitCountry,BeforeAfterKoreaType
1,85,대만,Before
2,92,일본,Before
3,96,일본,Before
4,99,일본,Before
5,102,중국,Before
6,109,기타,Before
7,121,중국,Before
8,135,기타,Before
9,136,싱가포르,Before
10,140,기타,Before
11,152,기타,Before
12,155,미국,Before
13,156,일본,Before
14,159,싱가포르,Before
15,162,홍콩,Before
16,258,중국,Before
17,270,중국,Before
18,273,일본,Before
19,281,싱가포르,Before
20,283,태국,Before
21,287,중국,Before
22,290,중국,Before
23,291,일본,Before
24,296,미국,Before
25,302,중국,Before
26,317,대만,Before
27,318,기타,Before
28,322,기타,Before
29,399,기타,Before
30,409,홍콩,Before
31,418,홍콩,Before
32,420,기타,Before
33,421,일본,Before
34,423,호주,Before
35,425,중국,Before
36,426,일본,Before
37,428,중국,Before
38,430,호주,Before
39,433,중국,Before
40,437,대만,Before
41,452,중국,Before
42,466,홍콩,Before
43,472,호주,Before
44,480,일본,Before
45,490,싱가포르,Before
46,492,일본,Before
47,499,기타,Before
48,501,기타,Before
49,504,홍콩,Before
50,507,캐나다,Before
51,519,중국,Before
52,521,태국,Before
53,522,태국,Before
54,528,중국,Before
55,529,홍콩,Before
56,530,독일,Before
57,534,기타,Before
58,535,태국,Before
59,602,싱가포르,Before
60,659,기타,Before
61,683,미국,Before
62,685,호주,Before
63,688,영국,Before
64,696,일본,Before
65,699,홍콩,Before
66,702,기타,Before
67,712,기타,Before
68,713,기타,Before
69,718,중국,Before
70,731,중국,Before
71,738,기타,Before
72,745,중국,Before
73,746,기타,Before
74,747,일본,Before
75,748,기타,Before
76,749,호주,Before
77,756,기타,Before
78,766,미국,Before
79,787,태국,Before
80,791,일본,Before
81,865,중국,Before
82,915,태국,Before
83,920,기타,Before
84,931,싱가포르,Before
85,941,중국,Before
86,955,일본,Before
87,958,싱가포르,Before
88,965,태국,Before
89,1108,기타,Before
90,1110,일본,Before
91,1135,일본,Before
92,1158,일본,Before
93,1182,일본,Before
94,1190,홍콩,Before
95,1200,중국,Before
96,1202,대만,Before
97,1236,기타,Before
98,1245,대만,Before
99,1251,일본,Before
100,1254,기타,Before
101,1257,기타,Before
102,1259,기타,Before
103,1272,중국,Before
104,1273,일본,Before
105,1308,일본,Before
106,1309,싱가포르,Before
107,1318,일본,Before
108,1319,일본,Before
109,1326,일본,Before
110,1336,싱가포르,Before
111,1343,기타,Before
112,1346,싱가포르,Before
113,1362,기타,Before
114,1469,중국,Before
115,1473,일본,Before
116,1477,기타,Before
117,1478,기타,Before
118,1485,일본,Before
119,1489,일본,Before
120,1493,대만,Before
121,1505,일본,Before
122,1525,일본,Before
123,1526,기타,Before
124,1533,캐나다,Before
125,1543,기타,Before
126,1545,기타,Before
127,1549,미국,Before
128,1554,일본,Before
129,1568,기타,Before
130,1578,독일,Before
131,1586,영국,Before
132,1587,미국,Before
133,1591,중국,Before
134,1594,독일,Before
135,1609,일본,Before
136,1611,일본,Before
137,1614,일본,Before
138,1663,일본,Before
139,1665,기타,Before
140,1667,기타,Before
