ReasonRankingID,VisitID,ReasonID,Ranking
1,1,15,1
2,2,1,1
3,3,2,1
4,4,2,1
5,7,4,1
6,9,2,1
7,10,13,1
8,11,2,1
9,12,2,1
10,13,4,1
11,14,3,1
12,15,2,1
13,16,4,1
14,17,9,1
15,18,2,1
16,20,2,1
17,21,3,1
18,22,2,1
19,23,2,1
20,24,4,1
21,26,2,1
22,27,2,1
23,28,7,1
24,29,4,1
25,30,2,1
26,31,2,1
27,32,4,1
28,33,2,1
29,34,2,1
30,35,1,1
31,40,1,1
32,41,8,1
33,44,1,1
34,47,1,1
35,49,3,1
36,50,2,1
37,52,1,1
38,54,1,1
39,55,8,1
40,56,1,1
41,57,1,1
42,58,1,1
43,59,1,1
44,60,4,1
45,61,1,1
46,62,4,1
47,63,1,1
48,64,1,1
49,65,2,1
50,66,5,1
51,68,1,1
52,69,1,1
53,70,1,1
54,71,1,1
55,72,1,1
56,73,2,1
57,74,8,1
58,76,2,1
59,77,1,1
60,78,2,1
61,80,1,1
62,84,5,1
63,88,1,1
64,89,1,1
65,94,9,1
66,95,4,1
67,98,2,1
68,100,3,1
69,101,7,1
70,109,2,1
71,111,1,1
72,114,1,1
73,115,13,1
74,116,1,1
75,117,2,1
76,118,8,1
77,119,1,1
78,121,15,1
79,124,2,1
80,130,3,1
81,134,5,1
82,137,7,1
83,139,3,1
84,140,2,1
85,145,7,1
86,161,2,1
87,162,2,1
88,163,1,1
89,164,1,1
90,165,1,1
91,167,1,1
92,170,1,1
93,171,1,1
94,173,5,1
95,175,1,1
96,177,1,1
97,179,1,1
98,180,14,1
99,181,2,1
100,182,2,1
101,183,2,1
102,185,1,1
103,186,1,1
104,187,1,1
105,188,1,1
106,189,1,1
107,190,6,1
108,191,3,1
109,192,9,1
110,193,2,1
111,194,1,1
112,195,1,1
113,196,1,1
114,197,1,1
115,198,15,1
116,199,4,1
117,200,2,1
118,201,2,1
119,202,2,1
120,203,1,1
121,204,2,1
122,208,6,1
123,210,6,1
124,211,4,1
125,215,16,1
126,216,2,1
127,218,2,1
128,219,4,1
129,220,2,1
130,222,2,1
131,223,2,1
132,225,2,1
133,227,9,1
134,228,2,1
135,229,3,1
136,230,2,1
137,231,2,1
138,232,1,1
139,233,4,1
140,234,2,1
141,235,2,1
142,236,4,1
143,237,9,1
144,238,4,1
145,239,2,1
146,240,14,1
147,241,14,1
148,242,2,1
149,243,14,1
150,244,3,1
151,245,15,1
152,246,9,1
153,247,5,1
154,250,1,1
155,251,12,1
156,252,8,1
157,262,2,1
158,263,3,1
159,266,2,1
160,268,1,1
161,281,15,1
162,282,2,1
163,283,1,1
164,288,5,1
165,289,1,1
166,291,4,1
167,292,12,1
168,296,3,1
169,298,2,1
170,299,1,1
171,300,2,1
172,301,1,1
173,306,13,1
174,307,1,1
175,310,8,1
176,311,1,1
177,312,6,1
178,319,3,1
179,336,4,1
180,337,7,1
181,338,2,1
182,339,2,1
183,340,4,1
184,341,9,1
185,342,2,1
186,343,2,1
187,344,5,1
188,345,10,1
189,347,2,1
190,348,4,1
191,349,7,1
192,351,4,1
193,352,2,1
194,353,2,1
195,354,6,1
196,355,14,1
197,356,16,1
198,357,2,1
199,358,2,1
200,359,10,1
201,361,4,1
202,362,2,1
203,363,4,1
204,364,5,1
205,365,10,1
206,366,6,1
207,367,5,1
208,368,7,1
